journal,title,year,nchar,is_empty,is_abstract,r_did,r_rdd,r_internet,r_ols,r_arch,r_natexp,r_financialcrisis,r_identification,r_data,r_bigdata,r_admin,r_ml,r_python
Journal of Agricultural and Resource Economics,Factors Influencing Producer Support for a State Mandatory Seed Law: An Empirical Analysis,1992,36041,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Agricultural and Resource Economics,Existence of Unique Limiting Probability Vectors in Stochastic Processes with Multiple Transition Matrices,1992,44597,False,False,0,0,0,1,43,0,0,0,18,0,0,0,0
Journal of Agricultural and Resource Economics,Dynamics and Price Volatility in Farm-Retail Livestock Price Relationships,1992,51871,False,False,0,0,0,0,0,0,0,0,18,0,0,0,0
Journal of Agricultural and Resource Economics,Alternative Measures of Risk in Commodity Supply Models: An Analysis of Sow Farrowing Decisions in the United States,1992,45097,False,False,0,0,0,3,0,0,0,2,2,0,0,0,0
Journal of Agricultural and Resource Economics,Information Impacts and Determinants of Information Selection: An Experimental Approach,1992,40783,False,False,0,0,0,0,0,0,0,0,4,0,0,0,0
Journal of Agricultural and Resource Economics,Economic Implications of Global Climate Change for World Agriculture,1992,70193,False,False,0,0,0,4,0,0,0,2,11,0,0,0,0
Journal of Agricultural and Resource Economics,Risk and Return in Agriculture: Evidence from an Explicit-Factor Arbitrage Pricing Model,1992,32395,False,False,0,0,0,0,0,0,0,0,12,0,0,0,0
Journal of Agricultural and Resource Economics,In Defense of Fence to Fence: Can the Backward Bending Supply Curve Exist?,1992,27167,False,False,0,0,0,0,0,0,0,0,9,0,0,0,0
Journal of Agricultural and Resource Economics,A Linear Inverse Demand System,1992,15811,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Agricultural and Resource Economics,Farm Machinery Investment and the Tax Reform Act of 1986,1992,564,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Agricultural and Resource Economics,Multiple-Output Production Modeled with Three Functional Forms,1992,43555,False,False,0,0,0,0,0,0,0,0,2,0,0,0,0
Journal of Agricultural and Resource Economics,The Economic Threshold for Grasshopper Control on Public Rangelands,1992,29118,False,False,0,0,0,4,0,0,0,0,12,0,0,0,0
Journal of Agricultural and Resource Economics,Risk Costs and the Choice of Market Return Index,1992,46788,False,False,0,0,0,0,0,0,0,0,17,0,0,0,0
Journal of Agricultural and Resource Economics,Modeling the Effect of Uncertainty on Timber Harvest: A Suggested Approach and Empirical Example,1992,51007,False,False,0,0,0,0,0,0,0,0,4,0,0,0,0
Journal of Agricultural and Resource Economics,Farm-Level Response to Agricultural Effluent Control Strategies: The Case of the Willamette Valley,1992,35393,False,False,0,0,0,0,0,0,0,0,2,0,0,0,0
Journal of Agricultural and Resource Economics,Certification and Supply Response in the Organic Lettuce Market,1992,43453,False,False,0,0,0,0,0,0,0,0,94,0,0,0,0
Journal of Agricultural and Resource Economics,USDA Data Revisions of Choice Beef Prices and Price Spreads: Implications for Estimating Demand Responses,1992,39393,False,False,0,0,0,2,0,0,0,0,12,0,0,0,0
Journal of Agricultural and Resource Economics,"Abstracts of Selected Papers, WAEA Annual Meetings",1992,27190,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Agricultural and Resource Economics,An Empirical Application of Laboratory Experimental Auctions in Marketing Research,1992,57223,False,False,0,0,0,0,0,0,0,0,4,0,0,0,0
